m	mean_eff	sd_bot_eff	sd_top_eff	mean_random	sd_bot_random	sd_top_random	mean_large	sd_bot_large	sd_top_large	mean_leverage	sd_bot_leverage	sd_top_leverage	mean_sum	sd_bot_sum	sd_top_sum	mean_true_displace	sd_bot_true_displace	sd_top_true_displace	
4.200000000000000e+01	4.228520846200321e-01	3.953029009384714e-01	4.504027684167485e-01	2.866781821027957e-01	1.332117783614802e-01	4.401436439044974e-01	7.294223958995617e-01	6.533000505303099e-01	8.057731572658695e-01	8.490429251635898e-01	7.093310018937934e-01	9.886556626422834e-01	5.678312175884260e-01	5.325404661695371e-01	6.031302224338111e-01	3.813390117815475e-02	1.768164307523876e-02	5.857365479052195e-02	
4.300000000000000e+01	4.189594097861735e-01	3.920789183555594e-01	4.458258902082146e-01	2.833699048576743e-01	1.300515322237356e-01	4.365698432194344e-01	7.259275359733782e-01	6.529053384152570e-01	7.989235051245301e-01	8.509768375113432e-01	7.179013435634929e-01	9.841423795561052e-01	5.668786564871600e-01	5.315696982720443e-01	6.021852426348410e-01	3.784885458488169e-02	1.803387712104378e-02	5.767274671720728e-02	
4.400000000000000e+01	4.209548091614478e-01	3.936196105026531e-01	4.482600668384498e-01	2.776390619319977e-01	1.289817196575636e-01	4.262609834673343e-01	7.264528938921915e-01	6.555192489463565e-01	7.974190919792886e-01	8.458042177647374e-01	7.149458803195206e-01	9.766455521199000e-01	5.660818293699105e-01	5.303324012994362e-01	6.018120215849764e-01	3.816189528661300e-02	1.811631982203709e-02	5.822145621747586e-02	
4.500000000000000e+01	4.211798036122190e-01	3.937777621085197e-01	4.485813350708761e-01	2.739254928491561e-01	1.280890316980912e-01	4.196023072031188e-01	7.234555796600514e-01	6.529339551522325e-01	7.939712785367961e-01	8.501179731007764e-01	7.224896170346801e-01	9.775658920558149e-01	5.646016412440016e-01	5.303713757333827e-01	5.988284756987751e-01	3.772544895834880e-02	1.754035303909448e-02	5.792029444329418e-02	
4.600000000000000e+01	4.167062564934551e-01	3.891135427398270e-01	4.442916763555755e-01	2.737324470784909e-01	1.248601284327227e-01	4.226479069362736e-01	7.245482019569673e-01	6.563965928680179e-01	7.927556358991109e-01	8.458956327257019e-01	7.194145528313348e-01	9.723158181317985e-01	5.628760646441298e-01	5.285218749648097e-01	5.972435120121052e-01	3.794854928368329e-02	1.788022417206256e-02	5.802171048816489e-02	
4.700000000000000e+01	4.193608351569370e-01	3.919770099060280e-01	4.467433668847588e-01	2.668251835695410e-01	1.257438964572360e-01	4.078784372540905e-01	7.231781950394532e-01	6.569327797425135e-01	7.894816666170014e-01	8.439079440682832e-01	7.241505488760380e-01	9.636345472383988e-01	5.618779767448019e-01	5.272378366852251e-01	5.965267045508889e-01	3.822029889811464e-02	1.811542031599146e-02	5.832241858999668e-02	
4.800000000000000e+01	4.154231371636803e-01	3.883543264729389e-01	4.424803715689017e-01	2.629117280305794e-01	1.220253427401421e-01	4.038080890069945e-01	7.249098535228162e-01	6.581426981543362e-01	7.916660951121101e-01	8.419338974599334e-01	7.249839636365707e-01	9.588574559090048e-01	5.608021365526114e-01	5.269452382131654e-01	5.946574910891447e-01	3.789364382384256e-02	1.794852965877282e-02	5.783876121652146e-02	
4.900000000000000e+01	4.111682355937493e-01	3.837585423186666e-01	4.385560689218339e-01	2.642788108483834e-01	1.245079253113144e-01	4.040659550220041e-01	7.211486967074140e-01	6.579073217312458e-01	7.843820162005720e-01	8.390004816167211e-01	7.292509245365260e-01	9.487715681662792e-01	5.595932870889893e-01	5.253540635742346e-01	5.938563849510381e-01	3.831734215224220e-02	1.806176288038983e-02	5.855201226051633e-02	
5.000000000000000e+01	4.133226782429277e-01	3.857985776093592e-01	4.408349714632078e-01	2.588029903631932e-01	1.186634711398497e-01	3.989896905950527e-01	7.225966028441735e-01	6.572959845539955e-01	7.879307207213018e-01	8.368060907928592e-01	7.293840697075671e-01	9.443145664705396e-01	5.586128864896935e-01	5.250370659285960e-01	5.921923603679993e-01	3.821181520379691e-02	1.785319021781550e-02	5.855440871437338e-02	
5.100000000000000e+01	4.132925565517423e-01	3.864463354837172e-01	4.401696217861132e-01	2.543706754513851e-01	1.150900301631862e-01	3.936440857217540e-01	7.203021673339161e-01	6.584665197626282e-01	7.820916637920182e-01	8.334871849715555e-01	7.309980821959426e-01	9.358861684876657e-01	5.571295703254970e-01	5.239215719067661e-01	5.903059897392715e-01	3.806420604245240e-02	1.796088108404630e-02	5.818088021168351e-02	
